day,month,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,Region,Classes
8,Jun,30,73,15,0.0,86.6,12.1,38.3,5.6,Bejaia,fire
13,Aug,35,63,15,0.0,87.0,19.0,85.1,5.9,Bejaia,fire
14,Jul,37,37,18,0.2,88.9,12.9,14.6,9.0,Sidi-Bel Abbes,fire
27,Jul,36,48,13,0.0,90.3,22.2,108.5,8.7,Bejaia,fire
24,Sep,29,65,19,0.6,68.3,5.5,15.2,1.5,Bejaia,not fire
7,Jul,38,43,13,0.5,85.0,13.0,35.4,4.1,Sidi-Bel Abbes,fire
20,Aug,35,68,19,0.0,88.3,25.9,130.6,8.8,Bejaia,fire
12,Jun,27,58,17,0.0,88.9,21.3,37.8,8.7,Sidi-Bel Abbes,fire
3,Sep,25,78,15,3.8,42.6,1.2,7.5,0.1,Bejaia,not fire
1,Jul,29,68,19,1.0,59.9,2.5,8.6,1.1,Bejaia,not fire
3,Jun,26,82,22,13.1,47.1,2.5,7.1,0.3,Bejaia,not fire
24,Aug,35,38,15,0.0,92.1,51.3,147.7,12.2,Sidi-Bel Abbes,fire
16,Aug,36,61,18,0.3,80.2,11.7,90.4,2.8,Bejaia,fire
6,Jun,31,67,14,0.0,82.6,5.8,22.2,3.1,Bejaia,fire
14,Sep,22,76,26,8.3,47.4,1.1,7.0,0.4,Bejaia,not fire
12,Sep,29,88,13,0.0,71.0,2.6,16.6,1.2,Bejaia,not fire
7,Sep,31,71,17,0.3,69.6,3.2,30.1,1.5,Bejaia,not fire
5,Jul,34,45,18,0.0,90.5,18.7,46.4,11.3,Sidi-Bel Abbes,fire
17,Sep,31,52,14,0.0,87.7,6.4,24.3,6.2,Bejaia,fire
26,Jun,36,62,16,0.0,87.8,16.5,34.5,7.0,Sidi-Bel Abbes,fire
14,Aug,33,66,14,0.0,87.0,21.7,94.7,5.7,Bejaia,fire
8,Jul,35,47,18,6.0,80.8,9.8,9.7,3.1,Sidi-Bel Abbes,fire
23,Jun,33,59,16,0.8,74.2,7.0,8.3,1.6,Sidi-Bel Abbes,not fire
12,Aug,39,21,17,0.4,93.0,18.4,41.5,15.5,Sidi-Bel Abbes,fire
2,Aug,35,55,12,0.4,78.0,5.8,10.0,1.7,Bejaia,not fire
23,Jul,27,66,22,0.4,68.2,10.5,71.3,1.8,Bejaia,not fire
26,Jul,35,58,10,0.2,78.3,10.8,19.7,1.6,Sidi-Bel Abbes,not fire
10,Aug,35,55,14,0.0,88.9,18.6,67.0,7.4,Bejaia,fire
10,Aug,39,39,15,0.2,89.3,15.8,35.4,8.2,Sidi-Bel Abbes,fire
10,Jun,30,41,15,0.0,89.4,13.3,22.5,8.4,Sidi-Bel Abbes,fire
27,Jun,36,55,15,0.0,89.1,20.9,43.3,8.0,Sidi-Bel Abbes,fire
26,Sep,30,65,14,0.0,85.4,16.0,44.5,4.5,Sidi-Bel Abbes,fire
29,Jul,32,73,15,0.0,86.6,26.7,127.0,5.6,Bejaia,fire
7,Jun,35,44,17,0.2,85.6,9.9,28.9,5.4,Sidi-Bel Abbes,fire
29,Jun,32,47,13,0.3,79.9,18.4,84.4,2.2,Bejaia,not fire
7,Sep,31,62,15,0.0,83.3,5.8,17.7,3.8,Sidi-Bel Abbes,fire
2,Jun,30,73,13,4.0,55.7,2.7,7.8,0.6,Sidi-Bel Abbes,not fire
11,Jul,34,56,15,2.9,74.8,7.1,9.5,1.6,Sidi-Bel Abbes,not fire
22,Sep,33,64,13,0.0,88.9,26.1,106.3,7.1,Sidi-Bel Abbes,fire
13,Aug,35,34,16,0.2,88.3,16.9,45.1,7.5,Sidi-Bel Abbes,fire
30,Jun,33,50,14,0.0,88.7,22.9,92.8,7.2,Bejaia,fire
17,Jul,32,81,17,0.0,84.6,21.1,42.3,4.7,Sidi-Bel Abbes,fire
1,Sep,25,76,17,7.2,46.0,1.3,7.5,0.2,Bejaia,not fire
9,Aug,35,59,17,0.0,87.4,14.8,57.0,6.9,Bejaia,fire
20,Jun,30,80,16,0.4,59.8,3.4,27.1,0.9,Bejaia,not fire
6,Sep,29,74,19,0.1,75.8,3.6,32.2,2.1,Bejaia,not fire
16,Jun,29,87,15,0.4,47.4,4.2,8.0,0.2,Sidi-Bel Abbes,not fire
19,Aug,35,66,15,0.1,82.7,32.7,96.8,3.3,Sidi-Bel Abbes,fire
13,Jun,27,84,21,1.2,50.0,6.7,17.0,0.5,Bejaia,not fire
18,Jun,33,62,10,8.7,65.5,4.6,8.3,0.9,Sidi-Bel Abbes,not fire
16,Sep,33,26,13,0.0,93.9,21.2,59.2,14.2,Sidi-Bel Abbes,fire
2,Sep,28,67,19,0.0,75.4,2.9,16.3,2.0,Sidi-Bel Abbes,not fire
16,Jul,31,83,17,0.0,84.5,19.4,33.1,4.7,Sidi-Bel Abbes,fire
24,Aug,34,64,14,0.0,88.9,40.5,171.3,9.0,Bejaia,fire
30,Jun,34,42,15,1.7,79.7,12.0,8.5,2.2,Sidi-Bel Abbes,not fire
15,Jul,30,80,19,0.4,60.7,5.2,17.0,1.1,Bejaia,not fire
30,Sep,24,64,15,0.2,67.3,3.8,16.5,1.2,Sidi-Bel Abbes,not fire
25,Jul,39,64,9,1.2,73.8,11.7,15.9,1.1,Sidi-Bel Abbes,not fire
26,Sep,31,54,11,0.0,82.0,6.0,16.3,2.5,Bejaia,not fire
14,Sep,28,81,15,0.0,84.6,12.6,41.5,4.3,Sidi-Bel Abbes,fire
26,Aug,33,37,16,0.0,92.2,61.3,167.2,13.1,Sidi-Bel Abbes,fire
18,Jul,31,68,14,0.0,85.4,12.1,43.1,4.6,Bejaia,fire
4,Sep,30,66,15,0.2,73.5,4.1,26.6,1.5,Sidi-Bel Abbes,not fire
6,Sep,34,71,14,6.5,64.5,3.3,9.1,1.0,Sidi-Bel Abbes,not fire
6,Jul,35,42,15,0.3,84.7,15.5,45.1,4.3,Sidi-Bel Abbes,fire
31,Jul,37,55,15,0.0,89.3,28.3,67.2,8.3,Sidi-Bel Abbes,fire
20,Jul,33,65,15,0.1,81.4,12.3,62.1,2.8,Bejaia,fire
21,Sep,31,55,11,0.0,87.8,16.5,57.9,5.4,Bejaia,fire
5,Jun,27,77,16,0.0,64.8,3.0,14.2,1.2,Bejaia,not fire
4,Jun,25,89,13,2.5,28.6,1.3,6.9,0.0,Bejaia,not fire
11,Sep,30,77,21,1.8,58.5,1.9,8.4,1.1,Bejaia,not fire
13,Sep,29,49,19,0.0,88.6,11.5,33.4,9.1,Sidi-Bel Abbes,fire
4,Jul,34,58,18,0.0,88.0,13.6,36.8,8.0,Sidi-Bel Abbes,fire
23,Sep,32,54,11,0.5,73.7,7.9,30.4,1.2,Bejaia,not fire
23,Jun,32,62,18,0.1,81.4,8.2,47.7,3.3,Bejaia,fire
2,Jul,33,48,16,0.0,87.6,7.9,17.8,6.8,Sidi-Bel Abbes,fire
5,Jun,32,60,14,0.2,77.1,6.0,17.6,1.8,Sidi-Bel Abbes,not fire
2,Jun,29,61,13,1.3,64.4,4.1,7.6,1.0,Bejaia,not fire
21,Jul,33,70,17,0.0,85.4,18.5,71.5,5.2,Bejaia,fire
9,Jul,36,43,15,1.9,82.3,9.4,9.9,3.2,Sidi-Bel Abbes,fire
11,Jun,31,65,14,0.0,84.5,12.5,54.3,4.0,Bejaia,fire
14,Jun,27,79,16,0.7,53.4,6.4,7.3,0.5,Sidi-Bel Abbes,not fire
28,Aug,34,64,16,0.0,89.4,50.2,210.4,7.3,Bejaia,fire
25,Sep,26,81,21,5.8,48.6,3.0,7.7,0.4,Bejaia,not fire
1,Jun,32,71,12,0.7,57.1,2.5,8.2,0.6,Sidi-Bel Abbes,not fire
16,Sep,30,65,14,0.0,78.1,3.2,15.7,1.9,Bejaia,not fire
4,Aug,34,69,13,0.0,85.0,8.2,19.8,4.0,Bejaia,fire
9,Jul,32,68,14,1.4,66.6,7.7,9.2,1.1,Bejaia,not fire
22,Jul,32,48,18,0.0,91.5,44.2,90.1,13.2,Sidi-Bel Abbes,fire
10,Jun,28,79,12,0.0,73.2,9.5,46.3,1.3,Bejaia,not fire
3,Jul,34,56,17,0.1,84.7,9.7,27.3,4.7,Sidi-Bel Abbes,fire
16,Jul,28,76,21,0.0,72.6,7.0,25.5,0.7,Bejaia,not fire
29,Sep,24,54,18,0.1,79.7,4.3,15.2,1.7,Sidi-Bel Abbes,not fire
8,Sep,30,73,17,0.9,62.0,2.6,8.4,1.1,Bejaia,not fire
18,Aug,37,37,14,0.0,94.3,35.9,86.8,16.0,Sidi-Bel Abbes,fire
7,Aug,32,69,16,0.0,86.5,15.5,48.6,5.5,Bejaia,fire
24,Jul,33,63,17,1.1,72.8,20.9,56.6,1.6,Sidi-Bel Abbes,not fire
30,Jul,36,56,16,0.0,88.9,23.8,57.1,8.2,Sidi-Bel Abbes,fire
8,Jun,28,51,17,1.3,71.4,7.7,7.4,1.5,Sidi-Bel Abbes,not fire
13,Jun,30,52,15,2.0,72.3,11.4,7.8,1.4,Sidi-Bel Abbes,not fire
23,Aug,36,53,16,0.0,89.5,37.6,161.5,10.4,Bejaia,fire
31,Aug,30,59,19,0.0,89.1,27.8,168.2,9.8,Sidi-Bel Abbes,fire
9,Jun,27,59,18,0.1,78.1,8.5,14.7,2.4,Sidi-Bel Abbes,not fire
11,Sep,30,73,14,0.0,79.2,6.5,16.6,2.1,Sidi-Bel Abbes,not fire
5,Sep,29,75,16,0.0,80.8,3.4,24.0,2.8,Bejaia,fire
25,Jun,31,64,15,0.0,86.7,14.2,63.8,5.7,Bejaia,fire
1,Aug,38,52,14,0.0,78.3,4.4,10.5,2.0,Sidi-Bel Abbes,not fire
