day,month,RH,Ws,Rain,FFMC,DMC,DC,ISI,Classes,Region,Temperature
8,Jun,73,15,0.0,86.6,12.1,38.3,5.6,fire,Bejaia,30
13,Aug,63,15,0.0,87.0,19.0,85.1,5.9,fire,Bejaia,35
14,Jul,37,18,0.2,88.9,12.9,14.6,9.0,fire,Sidi-Bel Abbes,37
27,Jul,48,13,0.0,90.3,22.2,108.5,8.7,fire,Bejaia,36
24,Sep,65,19,0.6,68.3,5.5,15.2,1.5,not fire,Bejaia,29
7,Jul,43,13,0.5,85.0,13.0,35.4,4.1,fire,Sidi-Bel Abbes,38
20,Aug,68,19,0.0,88.3,25.9,130.6,8.8,fire,Bejaia,35
12,Jun,58,17,0.0,88.9,21.3,37.8,8.7,fire,Sidi-Bel Abbes,27
3,Sep,78,15,3.8,42.6,1.2,7.5,0.1,not fire,Bejaia,25
1,Jul,68,19,1.0,59.9,2.5,8.6,1.1,not fire,Bejaia,29
3,Jun,82,22,13.1,47.1,2.5,7.1,0.3,not fire,Bejaia,26
24,Aug,38,15,0.0,92.1,51.3,147.7,12.2,fire,Sidi-Bel Abbes,35
16,Aug,61,18,0.3,80.2,11.7,90.4,2.8,fire,Bejaia,36
6,Jun,67,14,0.0,82.6,5.8,22.2,3.1,fire,Bejaia,31
14,Sep,76,26,8.3,47.4,1.1,7.0,0.4,not fire,Bejaia,22
12,Sep,88,13,0.0,71.0,2.6,16.6,1.2,not fire,Bejaia,29
7,Sep,71,17,0.3,69.6,3.2,30.1,1.5,not fire,Bejaia,31
5,Jul,45,18,0.0,90.5,18.7,46.4,11.3,fire,Sidi-Bel Abbes,34
17,Sep,52,14,0.0,87.7,6.4,24.3,6.2,fire,Bejaia,31
26,Jun,62,16,0.0,87.8,16.5,34.5,7.0,fire,Sidi-Bel Abbes,36
14,Aug,66,14,0.0,87.0,21.7,94.7,5.7,fire,Bejaia,33
8,Jul,47,18,6.0,80.8,9.8,9.7,3.1,fire,Sidi-Bel Abbes,35
23,Jun,59,16,0.8,74.2,7.0,8.3,1.6,not fire,Sidi-Bel Abbes,33
12,Aug,21,17,0.4,93.0,18.4,41.5,15.5,fire,Sidi-Bel Abbes,39
2,Aug,55,12,0.4,78.0,5.8,10.0,1.7,not fire,Bejaia,35
23,Jul,66,22,0.4,68.2,10.5,71.3,1.8,not fire,Bejaia,27
26,Jul,58,10,0.2,78.3,10.8,19.7,1.6,not fire,Sidi-Bel Abbes,35
10,Aug,55,14,0.0,88.9,18.6,67.0,7.4,fire,Bejaia,35
10,Aug,39,15,0.2,89.3,15.8,35.4,8.2,fire,Sidi-Bel Abbes,39
10,Jun,41,15,0.0,89.4,13.3,22.5,8.4,fire,Sidi-Bel Abbes,30
27,Jun,55,15,0.0,89.1,20.9,43.3,8.0,fire,Sidi-Bel Abbes,36
