iter	RMSE
0	3.413400354
1	3.247348576
2	3.134803195
3	2.9913443
4	2.884065626
5	2.770220731
6	2.663514059
7	2.592842036
8	2.517944017
9	2.439418085
10	2.367867959
11	2.306181258
12	2.24307757
13	2.186698929
14	2.136559616
15	2.087327755
16	2.040550906
17	2.001573566
18	1.960246164
19	1.927628933
20	1.890525211
21	1.861566714
22	1.834554638
23	1.80033671
24	1.764489725
25	1.736930497
26	1.714580283
27	1.691287984
28	1.672923012
29	1.655439953
30	1.633668541
31	1.613848847
32	1.596875603
33	1.583534116
34	1.571758408
35	1.5544076
36	1.540225709
37	1.526715828
38	1.517137591
39	1.510898265
40	1.491231603
41	1.481439531
42	1.467170775
43	1.449791898
44	1.437137126
45	1.418830913
46	1.41092071
47	1.40433916
48	1.388631015
49	1.37652434
50	1.372505125
51	1.36701755
52	1.352169153
53	1.342160744
54	1.327878779
55	1.317438914
56	1.30355559
57	1.298322357
58	1.284201188
59	1.278402724
60	1.267783366
61	1.258068445
62	1.253773384
63	1.243814407
64	1.235002943
65	1.221241022
66	1.21273768
67	1.207050647
68	1.196980511
69	1.185120322
70	1.178483371
71	1.169060697
72	1.162172578
73	1.159227215
74	1.149292202
75	1.144084789
76	1.134788767
77	1.124580609
78	1.115527948
79	1.10864704
80	1.100494167
81	1.091088167
82	1.085525797
83	1.083244031
84	1.077121194
85	1.069029631
86	1.062926464
87	1.05694866
88	1.048302929
89	1.046121432
90	1.041765605
91	1.037637174
92	1.029527501
93	1.024622044
94	1.022744653
95	1.012996439
96	1.00499133
97	0.9979207479
98	0.9903509016
99	0.9874003073
