iter	Passed	Remaining
0	2	262
1	3	190
2	5	186
3	7	180
4	9	174
5	10	169
6	12	165
7	14	163
8	15	157
9	17	156
10	18	153
11	20	151
12	22	149
13	24	151
14	26	149
15	28	148
16	29	146
17	31	144
18	33	143
19	35	141
20	37	142
21	40	142
22	42	141
23	43	138
24	45	136
25	47	134
26	49	132
27	51	131
28	53	129
29	55	129
30	57	127
31	59	126
32	61	125
33	105	204
34	119	221
35	123	218
36	126	216
37	130	213
38	134	210
39	138	208
40	142	205
41	149	206
42	153	203
43	156	199
44	159	194
45	162	190
46	164	185
47	167	181
48	171	178
49	175	175
50	179	172
51	182	168
52	186	165
53	193	165
54	195	160
55	198	155
56	201	151
57	203	147
58	205	142
59	207	138
60	210	134
61	213	130
62	216	127
63	218	122
64	220	118
65	222	114
66	223	110
67	225	106
68	227	102
69	229	98
70	230	94
71	232	90
72	234	86
73	235	82
74	237	79
75	239	75
76	241	72
77	242	68
78	244	65
79	246	61
80	247	58
81	249	54
82	251	51
83	252	48
84	254	44
85	255	41
86	257	38
87	259	35
88	261	32
89	263	29
90	265	26
91	267	23
92	269	20
93	271	17
94	273	14
95	275	11
96	278	8
97	280	5
98	282	2
99	284	0
